uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa11,South,IDPs,0.4,0.9,0.04,0.03,0.08,2.79,0.08,0.25,0.19,,,,101.09,40.29,25.14,0.16,0.17,0.09,3.21,0.49,1,2,0.26,0,,,,,84.61,0.08,,0.54,0.49,0.39,2,0.06,0.13,0.03,0.11,0.11,0.09,,,0.09,0.11,,,,,,,,0.27,0.05,,,0.07,,,,,,,,0.74,,,,,,,,,,,,,,,14.6,6,,7.95,0.77,0.24,0.1,0.13,0.07,0.08,0.24,5.86,0.17,0.1,0.31,0.12,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.11,0.1,,,,,,,,,,6.25,1,0.02,0.3,21.41,,,,0.14,,,0.24,0.06,,,,,,0.13,,9249.48,91075.13,19.2,0.93,0.74,2.25,0.68,,8.09,37.4,,0.13,,0.11,0.14,,0.06,,0.07,0.03,0.01,0.33,1,0.74,0.96,0.74,0.84,1,0.05,0.09,1,0.01,0.06,0.49,0.55,0.32,,,,,,,,,,,,,,,,,
uoa12,West,IDPs,,,,,,,,,,,,,,28.51,,,,,,,,4,0.2,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,174.31,,,,,,,,,,,,,,,0.56,,,,,6.66,,,,,,,,,,,,,0.15,0.19,,,,,,,,,,,2.98,0.76,,,38.65,,,,,,,,,,,,,,,,,,1,0.06,0.09,,,,,,0.37,,,,0.14,,,,,,,,,,0.28,0.11,,0.14
uoa13,Centre,Hosts,0.58,,,,,,,,,,,,,68.68,,,,,3.18,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.11,0,,,,,,,,,,,,,,,,,,0.7,,,,,0.12,0.11,,,,,,,,,,,10,,0.68,,,0.13,0.02,0.08,,7,,,,,,,,,,,,,0.79,,,,,,,,,,118.8,,0.65,,,,,,,,0.25,,,,,,,,,,,1,,,,,,,,,,0.11,,,,,,,,,5980.08,149510.25,,,,2.27,,,8.5,,,,0.79,,,,,,,,,,,,,,,,,0.06,,,,0.47,,,,,,,0.13,,,,,,,,0.16,,,,
uoa14,East,IDPs,,,0.03,0.04,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,0.14,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,1,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,0.27,,,,,,,,,,,,,,8.79,,,,,,,0.08,,1,,0.02,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.17,,
uoa15,East,IDPs,0.35,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,0.12,0.1,0.03,,,,,,,,,,,,,,,,,,46.84,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74641.86,14.71,,,,,,,,,,0.7,,,,,,,0.02,,,,,,,,,0.07,,,,,0.52,,0.36,,,,0.16,0.22,,,,,,,,,,,,
uoa16,West,Refugees,,,,,,,,,,,,,,36.05,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.13,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.23,,,,,,0.22,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,5.52,1,,,11.74,,,,,,,,,,,,,,,,,,,,,,,,7.01,,,,0.8,,,,,,,,0.01,,,0.91,,,,,,,,,,,0.58,0.28,,,,,,,,,,,,0.14,,0.16,,,
uoa17,West,IDPs,0.42,0.57,0.04,0.03,0.09,1.96,0.15,0.31,0.14,,,,113.13,32.38,14.58,,,,3.36,0.42,,5,0.29,,,,,,49.34,0.17,,0.11,0.1,0.05,5,0.34,0.39,0.19,0.67,0.31,0.33,,,0.33,0.58,0.05,0,0.1,0.07,,,,0.73,0.31,0.1,61.73,0.32,,0.11,0.1,,,,,0.13,0.71,0.72,,,0.07,0.05,0.06,,,0.12,0.12,,,,12.37,5,7,,0.71,,,0.14,0.05,0.09,0.26,5.92,0.23,,0.31,,,0.26,0.26,,0.19,,,,0.71,,21.56,,,,,,,,105.94,595.48,0.56,,38.68,0.2,0,,0.2,,0.12,,0,,,0.48,,,,,5.31,1,,0.12,23.37,,,,,,,0.34,0.04,0.14,0.19,,,,0.08,0.78,7165.18,149775.27,17.82,,0.73,1.42,0.63,,8.74,39.34,,,0.75,,0.07,0.09,,0,,0.03,0.01,0.32,0.9,0.91,,0.85,0.8,1,0.04,0.08,1,0.01,,0.49,0.48,0.34,,,,0.13,0.33,0.17,0.28,,0.1,,,0.06,0.17,0.1,0.17,0.26,0.75
uoa18,West,IDPs,0.49,1.04,0.06,0.03,0.1,1.15,0.11,0.21,0.08,,,,48.52,63.04,28.29,,,,5.36,0.44,,4,0.33,1,,,,,82.46,0.08,,0.07,0.07,0.09,5,0.35,0.37,0.19,0.71,0.3,0.31,,,0.39,0.63,0.1,1,0.09,,,,,0.76,0.39,0.12,68.24,0.36,,,0.13,0.28,,,,0.14,0.79,0.68,,,0.08,0.07,0.12,,,,,0.1,,,11.94,6,7,,0.64,,,0.04,0.06,0.11,0.23,6.4,0.23,0.18,,,,0.15,0.13,0.16,0.28,,,,0.87,,,0,,,,,,,102.27,674.91,0.67,,62.62,,0,0.32,0.16,,0.25,,,,,0.54,,0.26,,,5.19,1,0.03,0.16,29.65,0.37,1,,,0.05,,0.23,0.08,0.27,0.13,,0.73,0.61,0.05,0.79,4457.1,136893.8,16.62,0.91,0.7,1.24,0.56,0.23,7.07,37.76,,0.16,0.76,0.18,,0.06,,1,0.06,0.01,0.01,0.27,1,0.81,0.93,,,1,0.05,0.06,,,,0.43,0.56,0.3,,,,0.13,0.31,0.12,,,0.13,0.17,,0.09,0.25,0.27,0.15,0.16,0.07
uoa19,North,Refugees,0.69,1.17,0.1,0.05,0.08,1.2,,0.26,,,,,67.57,58.35,24.56,,,0.14,4.88,0.54,1,3,0.12,,,,,,77.81,,,0.12,0.11,0.06,5,0.37,0.29,0.17,0.7,0.34,0.38,,,0.39,0.58,0.14,1,0.14,,,,,0.79,0.29,0.06,32.72,0.34,59.09,,,0.16,,,,0.19,0.8,0.58,,,0.07,0.12,0.1,,,,,,,,13.7,6,9,7.54,0.68,0.18,,0.14,0.05,0.09,0.34,5.95,0.14,,0.31,,,0.1,0.26,,0.19,,,,0.82,,,1,,,,,,,107.95,361.15,0.28,0.19,32.02,,0,,,,0.19,,,,0.24,0.52,,,,,6.55,1,,0.23,14.47,0.07,,,0.14,,0.06,0.26,0.05,0.25,0.19,0.62,,0.68,0.06,,8651.83,156156.51,16.99,,0.75,2.59,0.73,,9.95,30.93,,,0.59,,,0.16,,0,0.06,0.01,0.01,0.22,0.99,0.74,1,0.73,0.72,1,0.02,0.04,1,0.01,0.05,0.43,0.52,0.3,,,,0.17,0.11,0.28,,,0.13,0.25,,0.07,0.14,0.21,0.13,,0.9
uoa20,South,Refugees,0.65,1.3,0.03,0.04,0.1,2.48,,,0.19,,,,103.76,28.89,10.71,,,0.08,4.91,0.43,1,3,0.11,,,,,,56.67,0.18,,0.1,0.06,0.1,5,0.28,0.32,0.16,0.73,0.32,0.29,,,0.36,0.78,0.12,1,,,,,,0.61,0.37,0.12,39.88,0.38,,,0.09,,,,,0.1,0.59,0.79,,,0.11,0.05,0.14,,,0.13,,,,,14.13,4,9,,0.67,0.21,,0.13,0.06,0.11,0.18,5.89,0.11,,0.3,,,0.08,0.18,0.32,,,,,0.91,23.58,13.06,,,,,,,,324.08,573.5,0.27,0.17,21.25,0.1,1,0.23,,,0.21,,1,,,0.55,,,,,6.5,1,0.03,0.23,33.3,,,,,0.13,0.06,0.21,0.04,0.16,0.34,,,0.7,0.06,,3032.83,158046.83,16.61,0.77,,2.33,0.59,,9.94,31.52,,0.12,0.71,0.28,,0.07,0.11,1,,0.01,0.01,0.47,0.97,0.98,,,0.8,1,0.05,0.06,,,,0.57,0.47,0.4,,,,0.07,0.11,0.14,0.31,,0.12,0.26,,0.06,0.22,0.26,0.14,,0.77
uoa21,West,IDPs,0.61,1.3,0.06,0.05,0.1,1.99,0.18,,0.16,,,,119.39,49.78,20.05,0.1,0.18,,2.5,0.69,,4,0.14,1,,,,,50.27,0.18,,0.07,0.11,0.06,5,0.31,0.33,0.2,0.71,0.31,0.37,,,0.37,0.56,0.13,1,,0.06,,,,0.73,0.39,0.14,59.06,0.36,,,0.16,,,,,0.16,0.66,0.65,,,0.1,0.06,0.11,,,,0.14,,,,14.1,5,8,,0.62,,,0.1,0.07,0.09,0.23,6.8,0.09,0.14,0.2,,,0.18,0.09,0.25,,,,,0.81,10.45,22.86,,,,,,,,320.96,554.67,0.68,0.14,46.68,0.13,1,,,,0.16,32.19,0,,,0.55,,,,,6.93,1,,0.23,11.72,0.28,,,0.17,0.1,0.04,0.25,0.12,0.24,0.23,,0.8,0.58,0.08,0.72,8180.81,134309.15,18.16,0.71,0.6,1.21,0.67,0.28,7.31,32.9,0.21,,0.71,0.13,0.05,0.16,,0,,0.02,0.01,0.47,1,0.79,1,0.89,0.92,1,0.05,0.1,,,,0.45,0.46,0.3,,,,0.13,0.12,0.3,,,,,1,0.13,0.27,0.35,0.07,,0.86
uoa22,East,Hosts,0.62,0.83,0.05,0.06,0.07,1.24,,,,,,,108.28,51.02,18.44,0.28,,,6.5,0.54,,3,0.28,0,,,,,40.71,,0.27,0.09,0.12,0.06,5,0.3,0.38,0.15,0.74,0.31,0.39,,,0.4,0.56,0.07,0,,0.13,,,,0.69,0.29,0.11,40.27,0.3,,,,0.2,,,,0.19,0.76,0.73,,,0.05,0.1,0.11,,,,0.14,,,,11.58,6,9,,0.65,,,0.04,0.06,0.12,0.12,6.22,0.22,,,,,0.26,0.17,,0.15,,,,0.94,17.4,33.46,,0,,,,,,109.2,502.42,0.55,0.15,66.7,,1,0.11,,,0.26,26.06,0,,,0.43,,,,,6.74,1,,0.12,31.52,0.46,,,0.17,,,0.13,0.06,0.31,0.29,,0.65,,0.13,0.62,6322.44,73035.93,16.08,,0.72,2.67,0.69,,9.8,31.25,,,0.71,,,0.06,0.08,1,0.12,0.03,0.01,0.18,0.99,0.87,0.92,0.72,,1,0.03,0.07,,,0.04,0.51,0.45,0.38,,,,0.1,0.28,0.33,0.27,,0.07,0.25,,0.11,0.12,0.2,0.09,0.33,0.82
uoa23,East,IDPs,0.27,0.64,0.08,0.04,0.04,2.43,,0.31,,,,,88.57,54.82,31.5,,0.08,,6.07,0.26,,5,0.15,,,,,,73.35,,,0.14,0.12,0.11,5,0.31,0.32,0.19,0.67,0.34,0.3,,,0.31,0.75,0.06,0,0.14,,,,,0.67,0.3,0.1,35.81,0.38,,,,,,,,0.16,0.79,0.73,,,0.12,0.11,0.04,,,0.05,0.06,,,,12.43,6,10,,0.71,,,0.1,0.04,0.1,0.22,6.51,0.1,0.09,0.2,0.27,,0.16,0.28,0.27,0.26,,,,0.78,24.84,,1,,,,,,,210.42,316.68,0.27,,29.25,,0,,,0.06,0.16,,0,,,0.49,0.16,,,,5.41,1,,0.31,29.93,,1,,,,0.09,0.14,0.13,0.13,0.31,,,,0.12,,6783.78,150590.69,14.12,,,2.31,0.67,,8.86,31.11,,,0.7,,,0.16,,0,,0.02,0.01,0.39,1,0.89,,0.87,,1,0.04,0.03,1,,0.03,0.53,0.44,0.37,,,,0.11,0.17,0.32,0.34,,0.09,0.1,,0.07,0.09,0.13,0.06,,0.11
uoa24,East,IDPs,0.39,0.69,0.07,0.06,0.03,0.97,0.18,0.26,,,,,41.56,20.05,24.5,,,,5.22,0.57,1,5,0.33,1,,,,,40.48,0.08,0.96,0.08,0.09,0.05,5,0.33,0.3,0.19,0.66,0.36,0.34,,,0.35,0.67,0.09,0,,0.1,,,,0.62,0.33,0.11,48.88,0.39,,,,,,,,0.18,0.59,0.57,,,0.12,0.07,0.13,,,,0.1,,,,1.6,1,9,1.53,0.08,0.86,0.35,0.37,0.16,0.31,0.93,1.15,0.65,0.6,0.84,0.83,,0.23,0.18,,0.31,,,,0.91,21.49,,0,,,,,,,215.18,306.84,0.43,0.51,48.13,,1,,0.16,0.33,0.62,,0,,0.75,0.47,0.22,,,,1.59,0.27,0.09,0.76,74.3,,,,0.46,0.1,,0.85,0.32,0.12,0.24,,0.76,,0.28,,3626.51,125123.93,17.07,0.72,0.77,3.34,0.71,,7.28,32.56,0.28,,0.72,0.16,,0.16,0.11,0,,0.02,0.01,0.43,1,0.83,1,0.8,0.79,1,0.02,0.04,,0.02,,0.49,0.44,0.3,,,,0.16,0.25,0.3,,,,,0,0.05,0.17,0.18,0.07,0.3,0.27
uoa25,North,Hosts,0.26,1.01,0.09,0.06,0.07,1.8,,0.15,0.06,,,,72.08,49.91,16.67,,,,4.34,0.29,1,7,0.23,1,,,,,60.46,0.12,,0.09,0.1,0.08,5,0.3,0.36,0.2,0.59,0.39,0.39,,,0.38,0.6,0.11,0,,0.09,,,,0.66,0.34,0.06,55.04,0.33,,,,,,,,0.1,0.59,0.62,,,0.11,0.05,0.11,,,0.05,,,,,1.69,1,9,1.13,0.19,0.7,0.32,0.4,0.14,0.37,0.8,0.96,0.66,0.51,0.84,0.88,,0.21,0.15,0.21,,,,,0.8,,29,,,,,,,,243.59,306.28,0.53,0.57,43.07,0.16,0,0.31,0.06,0.3,0.79,27.52,0,,,0.58,0.17,0.47,,,1.73,0.16,0.08,0.85,83.87,0.79,,,0.55,,0.12,0.9,0.36,0.23,0.31,0.64,0.77,0.68,0.34,0.24,4553.25,124706.13,19.81,0.76,,3.14,0.75,,8.45,30.73,,,0.71,,0.1,0.1,0.09,0,,0.02,0.01,0.46,0.86,0.86,,0.95,,1,0.06,0.05,1,,0.05,0.51,0.58,0.31,,,,0.06,0.26,0.15,0.32,0.32,0.13,0.31,1,0.11,0.11,0.28,0.08,0.11,0.91
uoa26,East,IDPs,0.44,0.87,0.09,0.04,0.07,1.1,0.2,,,,,,134.48,59.96,26.06,0.2,,,3.32,0.21,0,3,0.27,1,,,,,37.1,0.15,,0.06,0.1,0.07,5,0.29,0.35,0.2,0.61,0.38,0.35,,,0.39,0.66,0.1,0,0.06,,,,,0.68,0.29,0.06,54.64,0.35,34.34,0.08,,,,,,0.09,0.67,0.72,,,0.07,0.12,0.12,,,0.08,0.08,0.19,,,1.6,1,8,1.54,0.14,0.78,0.3,0.34,0.19,0.32,0.72,0.93,0.58,0.58,0.78,0.73,,0.2,0.12,0.27,,,,,0.9,,19.63,,,,,,,,196.35,564.69,0.3,0.57,25.07,,1,0.23,,0.36,0.72,17.18,,,,0.58,,,,,0.75,0.33,0.1,0.89,85.55,,,,0.52,0.08,0.12,0.7,0.31,0.21,0.34,,0.77,0.7,0.38,0.84,9540.3,77875.4,17.59,0.71,,3.02,0.6,,8.89,32.99,,,0.8,0.2,,0.06,,0,,0.01,0.01,0.46,1,0.9,,0.89,0.89,1,0.03,0.03,,,0.07,0.5,0.42,0.37,,,,0.17,0.32,0.15,,,0.16,0.19,,0.12,0.23,0.26,0.07,,0.26
uoa27,East,IDPs,0.58,0.98,0.07,0.03,0.08,1.94,0.13,,0.09,,,,110.79,47.44,28.04,0.13,,,6.02,0.46,1,5,0.27,,,,,,68.74,0.07,,0.11,0.07,0.11,5,0.37,0.36,0.15,0.63,0.28,0.32,,,0.32,0.58,0.11,1,,0.1,,,,0.74,0.32,0.07,34.01,0.34,26.48,0.12,,0.27,,,,0.14,0.77,0.62,,,0.12,0.07,0.1,,,,,,,,3.57,1,7,2.14,0.19,0.9,0.34,0.32,0.16,0.28,0.99,1.37,0.79,0.55,0.94,0.87,,0.27,0.18,,,,,,0.94,,29.44,0,,,,,,,259.59,444.52,0.23,0.47,47.46,0.2,0,,,0.31,0.8,,,,,0.48,0.3,0.26,,,1.56,0.35,0.07,0.93,79.44,0.49,,,0.58,,0.05,0.75,0.38,0.27,0.27,0.64,,,0.38,,7926.34,169923.93,15.94,0.92,,1.41,0.7,,7.28,39.69,0.13,,0.69,,,0.14,0.13,1,0.09,0.01,0.01,0.25,1,0.97,,,0.94,1,0.06,0.09,1,,,0.59,0.49,0.35,,,,0.15,0.25,0.34,0.35,0.27,0.07,0.33,0,0.09,0.13,0.31,0.13,,0.35
