uoa,filter1,filter2,MET065,MET066,MET067,MET080,MET081,MET070,MET049,MET050,MET053,MET054,MET073,MET074,MET056,MET057,MET058,MET060,MET061,MET062,MET064,MET075,MET076,MET078,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET042,MET043,MET045,MET033,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET116,MET118,MET119,MET120,MET121,MET122,MET123,MET125,MET124,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET092,MET094,MET096,MET099,MET100,MET101,MET137,MET127,MET128,MET129,MET130,MET132,MET135,MET133,MET136,MET134,MET160,MET161,MET162,MET163,MET165,MET166,MET156,MET158,MET159,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET138,MET139,MET140,MET141,MET187,MET188,MET189,MET190,MET191,MET192,MET193,MET194,MET195,MET204,MET205,MET206,MET196,MET197,MET198,MET199,MET200,MET201,MET202,MET167,MET168,MET169,MET170,MET171,MET173,MET174,MET175,MET176,MET177,MET178,MET180,MET182,MET183,MET184,MET185,MET186,MET028,MET029,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET012,MET013,MET014,MET015,MET016,MET017,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET001,MET002,MET217,MET218,MET219,MET220,MET214,MET215,MET216,MET207,MET208,MET209,MET210,MET212,MET211,MET213
SS0202,SS02,IDPs,,0.25,,,,,0.6,244,,0.84,,,,0.27,8.01,,,,,,,,2,0.78,0.3,0.92,,0.2,0.6,,,,0.61,,,,,,0.07,,0.9,4.64,-4.02,,0,,,,,0.86,6.8,0.85,0.46,,0.75,,0.82,0.22,,,,,,1.84,302,,0.62,,0.35,,5.3,4.38,22,0.97,,,0,0.17,,,0.79,,,0.42,,,0.24,0.07,,-0.76,,,,4.32,0.1,0.2,,0,,,0.69,,0.17,0.58,,,0.39,0.29,,,,,,0.42,0.25,0.43,0.8,,7.89,,5.57,,,1.17,,,5.47,1.62,,0.47,,,,,0.24,6.28,,1.61,6.41,1,487,3.63,0,,,,,6.56,5.63,,,,,0.82,,0.04,-1.38,5.52,,,,,,,,0.56,,0.42,,0.38,0.19,0.11,0.35,0.41,,0.66,0.62,0.25
SS0203,SS02,IDPs,0.39,,0.44,,,,0.15,,0.79,0.96,,,,0.25,2.36,-1.89,,0.31,0.77,,,,2,0.82,,0.02,0.74,,0.47,,,0.88,0.84,,0.75,,,,,,,3.11,,,,,,,,0.62,4.9,,,,,,,,0.83,,,,,5.61,,417,0.57,,0.49,0.14,4.58,0.37,3.2,,-0.98,,0,,0.34,0.03,,0.06,0.06,,0.56,,,0.3,0.88,-3.75,6.57,,,6.17,0.03,0.58,,,,,0.72,0.73,,,0.67,0.05,0.21,,,,,0.54,0.29,0.15,,0.66,,,3.74,4.18,4.73,0.39,,7.13,0.69,,6.82,0.23,,0.91,,0.64,,0,,0.2,,5.8,2.08,,194,,,,,,,6.2,5.3,6.72,,0.46,,0.49,,0.23,,,,,,,7.8,,0.66,0.26,,0.13,0,0.38,0.57,,0.52,0.16,,,0.12,
SS0204,SS02,IDPs,0.37,0.54,,,,,0.84,16,,0.6,,,0.1,0.38,,,,,0.38,,,,5,,0.37,0.82,,0.69,,,,,0.9,,,0.06,,,,0.33,0.31,,-2.24,,0,,,,,0.38,1.2,,,,,,0.45,0.11,,0.43,,,,1.22,399,55,0.14,,,,3.99,,6.4,0.04,3.97,0.42,,,,0.25,,,,0.75,,,0.41,,0.63,-0.75,5.14,,,,0.94,,,0,,0.74,0.5,0.48,0.69,,,0.6,,0.15,,,,0.72,0.68,0.11,,0.1,0.58,0.89,2.93,,6.07,0.15,,3.75,0.66,0.12,5.75,5.41,0.75,0.71,,0.66,,1,,1.27,,0.25,7.7,0,62,,,,,,,2.17,4.3,,0.4,,,0.79,0.7,0.24,,,,,,,6.88,2.77,0.85,0.51,,0.24,1,,0.21,0.84,,0.48,0.48,,,
SS0205,SS02,Hosts,0.38,0.48,0.9,,,,0.04,,0.52,,,,0.81,0.59,,-3.75,,,0.23,,,,5,0.11,0.2,0.85,0.87,0.67,0.84,,,0.68,0.17,,0.04,0.91,,,,0.49,0.73,,,1,,,,,,,6.5,,,0.59,,,0.27,0.33,0.2,,,,,5.04,34,219,0.63,0.46,0.59,,6.96,7.33,13.3,0.15,8.77,,1,,,0.3,0.41,0.91,0.47,,0.81,,,0.37,0.43,3.35,8.91,,,2.87,0.27,0.49,,1,,0.09,,0.12,,0.37,,,0.66,0.39,,,,,0.39,,0.8,0.47,,0.53,,5.4,2.31,,,,0.79,0.9,,4.15,,,,0.36,0.79,1,,,,6.98,4.64,,425,,1,,,,,0.21,,,0.81,,,,0.97,0.58,,4.02,8.97,,,,0.34,,,0.95,0.63,0.63,,0.06,,,0.48,0.04,,,,0.76
SS0206,SS02,Refugees,0.88,0.35,,,,,,,,0.42,,,0.54,0.76,2.64,4.71,,0.47,,,,,2,,0.71,0.28,0.82,,,,,0.82,0.66,,0.2,0.98,,,,0.75,,,,1,1,,,,,0.09,,,,0.6,,,0.26,0.47,0.14,0.74,,,,,480,431,0.75,0.62,,,,,,0.75,,,1,0.02,,0.94,,,,,,,,,,,6.66,,,0.06,,0.49,-0.57,,,0.92,0.72,,0.98,,,,0.12,,,,,0.13,,,0.77,0.18,,,,1.06,1.37,,,1.17,0.83,,,5.26,,0.26,,,0.57,,0.96,2.17,,4.21,,,446,,1,,,,,5.49,4.09,,,,0.78,0.87,,0.15,,,,,,,5,,0.94,0.97,0.68,0.18,0,0.15,0.27,,0.45,0.24,,,,
SS0207,SS02,IDPs,0.22,,0.44,,,,0.69,,0.79,,,,,0.77,2.92,-3.43,,0.54,0.09,,,,3,0.84,0.52,0.33,0.86,0.96,0.66,,,,0.41,0.07,0.02,,,,,0.96,0.75,1.63,,0,0,,,,,0.79,,,0.62,,,,0.71,0.13,0.8,,,,,4.8,215,,0.91,,,,6.26,5.15,2.7,,7.79,,,0.48,,0.73,0.84,0.77,0.05,,,,,,0.46,,9.9,,,0.38,0.61,0.81,,,,,0.72,,,0.9,,0.46,,0.12,,,,,,0.41,0.29,0.83,,0.97,4.07,1.85,1.02,,,7.68,,,,,,0.13,,0.09,0.23,1,,,0.85,2.29,,,9,2.6,1,,,,,7.11,1.61,2.3,,,0.96,0.35,0.47,0.64,,,2.24,,,,2.98,0.84,0.71,0.63,0.92,0.23,,,0.88,0.08,,,0.79,,,0.88
SS0208,SS02,Hosts,,,0.18,,,,0.03,,,,,,0.64,,6.06,2.06,,0.84,,,,,4,0.04,0.69,,0.84,0.55,0.06,,,,,0.64,0.85,,,,,,0.08,,,,0,,,,,0.66,4.5,,,0.79,,,0.67,,,,,,,2.4,,440,0.56,,0.28,0.43,1.74,,5.4,,6.38,,1,,0.47,0.13,0.76,,0.18,0.03,0.06,,0.35,0.89,0.03,,2.08,,,6.11,0.85,0.67,,,,0.6,0.61,0.7,0.9,0.51,,,,0.43,,,,0.31,0.03,0.63,0.7,0.53,,,0.63,3.96,4.96,,,2.58,,0.1,3.28,6.4,,0.32,,0.21,,,,2.48,,,,,,1.9,,,,,,,7.34,6.31,,0.5,,0.93,,0.27,4.94,,,,,,,1.49,0.32,0.29,0.37,0.1,0,0.49,,0.88,0.42,0.65,0.98,0.12,0.64,0.07
SS0301,SS03,IDPs,,,0.94,,,,0.04,217,,,,,0.22,,,,0.42,,,,,,,,0.62,,0.67,0.13,,,,,,0.47,0.92,0.84,,,,,0.03,2.83,3.08,1,,,,,,,5.4,0.18,,,0.59,,0.29,,,0.51,,,,0.2,26,200,0.34,,,0.91,4.64,1.53,,,1.9,0.08,1,0.94,,0.83,0.43,,,0.36,,,,,,6.38,5.68,,,,,0.31,,,,,0.25,0.28,,,0.52,0.8,0.47,,,,,0.91,0.25,0.47,0.18,0.08,0.67,0.4,,0.52,5.15,0.66,,,0.28,0.86,7.79,1.67,0.97,,0.37,0.39,,,,1.32,,0.7,,,265,3.9,0,,,,,1.16,1.2,5.67,,,,0.79,,,,7.01,,,,,,1.66,0.34,0.4,0.92,0.1,1,0.32,0.76,,0.08,0.06,,,,
SS0302,SS03,IDPs,,0.91,0.45,,,,0.48,390,,0.72,,,0.42,,,,,,,,,,2,,0.88,0.11,0.14,,0.82,,,,0.51,0.46,0.64,,,,,,0.6,-2.21,,,,,,,,0.44,2.5,0.89,,,0.26,,0.69,,0.88,,,,,3.52,355,207,0.03,0.96,,,3.31,,,0.78,-3.99,,1,0.36,0.42,,0.14,0.78,0.9,,,,,,,5.58,,,,2.22,0.12,,3.85,,,0.78,0.48,0.29,,,0.59,0.82,0.62,0.07,,,,0.31,0.7,0.11,0.57,0.34,0.12,,7.5,6.6,4.89,0.32,,,,,2.93,3.33,,0.82,0.61,,0.49,0,,,0.89,0.38,5.97,,346,,0,,,,,,6.08,7.53,,0.78,,0.17,0.12,,,,,,,,,5.22,,,0.58,0.86,1,,0.57,,0.16,0.29,,,,0.73
SS0303,SS03,Hosts,,0.54,,,,,,,,0.55,,,0.04,0.65,1.29,,0.67,0.78,0.54,,,,4,0.58,0.49,0.69,0.22,0.37,0.39,,,0.05,0.31,,0.62,0.75,,,0.74,,0.75,4.02,,1,,,,,,0.38,5.8,,,0.29,,,0.9,0.96,0.83,,,,,5.72,476,,,,,0.51,0.61,,,,,0.06,1,0.85,,,0.34,,,,,,,,0.49,,7.51,,,1.11,0.63,0.46,7.18,,,0.66,0.1,,,,,0.47,0.56,0.21,,,,0.12,0.28,,0.53,,,0.76,,5.66,,,,0.22,,0.09,,0.63,,0.34,,0.06,,1,,7.08,,7.4,3.54,,398,,,,,,,6.75,1.13,5.15,,,,,,0.63,,,2.77,,,,0.43,3.07,,,,0.87,,,,0.46,0.74,,0.42,,,
SS0304,SS03,Hosts,,,0.84,,,,,,,0.13,,,0.74,,8.33,-1.49,,0.6,,,,,,0.08,0.55,0.87,0.52,0.49,,,,,,,0.03,,,,,,0.88,,5.15,,0,,,,,,6.9,0.05,0.2,,0.81,,0.58,0.82,,,,,,,49,228,,0.68,,,2.32,,12,0.56,,0.61,1,,,0.54,0.94,0.46,0.69,0.65,0.89,,0.17,0.48,,,0.56,,,2,,0.89,,,,,,0.57,,,0.02,0.06,,0.46,,,,0.13,,0.2,,0.73,0.85,,6.63,0.85,,,0.45,5.44,,,4.99,,,,0.9,0.17,0.68,0,,,,3.11,4.81,0,,3.23,,,,,,5.87,0.84,4.29,,,,0.27,,,-2.09,,2.51,,,,3.48,1.98,0.37,0.38,,,0,0.63,0.1,0.43,0.79,0.68,,,0.18,
SS0305,SS03,Hosts,,,0.44,,,,,136,0.5,0.37,,,0.29,,,,,0.48,,,,,2,0.27,,,0.97,0.92,,,,,0.61,0.05,0.78,0.37,,,0.13,,0.84,,-1.9,0,0,,,,,0.8,2.5,0.34,0.2,,,,,,,0.37,,,,1.82,,,0.68,0.57,,0.23,7.94,6.69,4.1,,6.31,0.92,0,,,,0.52,0.83,,0.61,0.11,,,,0.03,,-2.95,,,1.99,,,,1,,0.36,0.03,0.17,0.26,,,0.91,0.75,,,,,0.64,0.22,0.27,0.48,0.75,0.35,,,,,,0.97,,0.94,,5.92,4.02,,0.65,,,0.52,1,0.84,6.83,,2.97,,0,384,3.77,0,,,,,,0.34,6.6,0.14,,,0.74,0.33,0.19,,,7.25,,,,,4.53,,,,0.22,1,,,0.45,0.31,0.07,0.17,,0.58,
SS0306,SS03,Hosts,0.37,0.82,0.46,,,,,,0.83,,,,0.95,0.13,,,,,,,,,,0.47,,,0.3,0.12,0.84,,,,0.47,0.18,0.16,0.84,,,,0.63,0.96,,,0,,,,,,0.98,4.7,,0.95,,,,0.48,0.82,,0.25,,,,6.63,360,408,,0.59,,,4.25,,23.4,,-4.58,,1,,0.67,0.7,0.78,0.9,,0.46,,,0.59,,0.75,,-0.16,,,3.12,0.76,0.77,,1,,,,0.94,0.15,,0.31,,,0.49,,,,0.06,0.2,0.4,0.38,,0.79,0.08,5.33,3.37,3.49,0.72,0.25,,,0.92,0.86,6.37,,0.17,0.88,,,1,,,,1.74,,1,,6.8,1,,,,,2.01,,5.22,0.46,0.63,,,0.94,0.79,,,,,,,5.31,2.43,0.82,,,,,0.12,,0.49,,0.73,,0.44,0.76,0.37
SS0307,SS03,IDPs,0.61,0.96,,,,,,339,0.69,,,,0.82,,7.83,5.38,,,,,,,5,,0.72,0.86,0.91,0.67,,,,0.17,0.54,,0.75,0.9,,,0.73,0.41,0.89,7.57,,,,,,,,0.21,5.4,,,,,,0.7,,0.72,,,,,,422,103,0.28,,,0.73,7.99,,6.9,,-1.55,,0,,,0.38,0.31,0.96,,,0.92,,,0.42,0.26,4.39,,,,1.73,,,-3.14,1,,0.74,0.56,,,0.65,,0.84,0.78,0.31,,,,0.13,0.82,,0.21,0.89,0.67,,,5.61,3.3,,,2.31,0.88,0.64,,7.91,0.3,,0.46,0.96,0.64,0,,3.21,,4.23,,,340,3.33,,,,,,5.32,3.3,,0.66,0.4,0.07,0.65,0.52,0.3,-1.7,,,,,,5.1,,0.46,0.34,0.96,0.25,1,,0.09,,0.48,0.85,,0.12,0.94,0.85
SS0308,SS03,IDPs,0.95,,0.52,,,,0.15,,,,,,,0.9,,,0.29,,0.94,,,,2,,0.09,0.94,0.9,,0.42,,,,0.27,,,,,,0.69,0.07,0.43,7,9.25,,,,,,,,,,0.11,,,,0.15,0.42,,,,,,4.96,84,,,,0.24,0.09,,1.94,2.4,0.92,,0.27,1,,,,,0.1,,,0.66,,,,0.35,,,,,,,0.17,-3.32,1,,0.9,0.15,0.94,,0.55,0.91,0.07,,0.3,,,,,0.13,0.76,,0.65,,,,2.16,,,,6.09,0.03,,6.81,0.14,,,0.47,0.15,,,,1.64,0.93,7.77,0.16,,177,7.19,1,,,,,7.04,,5.9,0.92,0.23,,0.6,,,,,,,,,7.3,4.33,0.03,,0.83,0.92,,0.21,0.11,0.06,0.11,0.03,,,0.36,0.37
SS0309,SS03,Refugees,,0.86,,,,,,,,,,,,0.59,-1.32,-1.74,0.48,,,,,,,,0.37,0.87,,0.7,,,,,0.63,,0.61,0.48,,,,0.91,0.88,5.56,,,,,,,,0.67,1.6,,,,,,,,0.08,0.61,,,,0.52,196,11,0.5,,,0.16,1.49,,8.8,0.18,0.55,0.51,,,0.36,0.69,,0.2,,0.21,0.02,,,,,,-0.62,,,5.33,0.16,,,,,,0.1,0.64,,,,0.2,0.47,,,,,,0.56,0.31,,0.81,0.53,,0.2,5.39,5.22,,,0.54,0.28,,,6.91,0.04,0.33,,0.31,0.08,,,3.01,0.25,1.41,0.3,1,113,6.47,,,,,,5.28,7.11,6.87,,,0.32,0.64,0.5,0.49,-1.56,6.77,,,,,2.54,,0.19,0.1,0.49,,1,0.82,0.16,0.58,0.05,0.59,,,,0.27
SS0310,SS03,Hosts,0.3,0.42,,,,,,91,,,,,,,3.35,6.98,0.95,0.2,,,,,,,,0.51,0.39,,,,,,0.95,0.64,,0.55,,,,0.08,,,,,,,,,,0.82,2.3,0.66,0.1,,,,0.56,0.62,,,,,,4.21,467,202,0.54,,,,,6.09,22.7,,-0.16,,0,,0.89,0.76,0.68,0.5,0.95,0.34,,,,,,,,,,,,,,,,0.96,0.32,,,,0.55,,,,,,,0.57,,,0.93,0.71,,0.82,3.33,6.17,,,,7.36,0.03,,,4.27,,,,0.67,,1,,,0.06,2.18,5.78,,167,5.39,,,,,,,4.52,3.31,,,,,,0.54,,,,,,,3.92,6.93,,,,0.22,,0.64,0.74,0.97,,0.55,,0.21,,
SS0311,SS03,Refugees,0.06,0.75,0.64,,,,0.7,,,0.23,,,0.38,0.86,-2.4,,0.37,0.86,,,,,2,0.61,0.17,0.36,0.31,,0.15,,,,,0.85,0.69,0.92,,,,0.62,0.76,-0.3,-4.53,0,1,,,,,0.83,1.2,0.82,0.3,,,,0.35,,,0.92,,,,2.42,196,,,0.45,0.67,0.28,,5.56,3.9,0.44,4.93,0.04,1,,,0.13,,,0.5,,,,,,,,8.43,,,,,,,0,,,,0.21,,,,0.5,0.97,0.58,,,,0.29,0.75,0.13,0.39,,0.18,0.51,1.64,,,0.84,0.94,3.06,0.56,,2.78,2.23,,0.93,,0.76,,,0.25,0.6,,2.26,7.01,,251,5.33,1,,,,,6.8,,2.14,0.43,,,0.1,,,-1.58,1.87,,,,,0.71,7.72,,0.37,,,0,0.21,0.46,,0.55,0.88,,,,
SS0401,SS04,Refugees,0.34,,0.46,,,,0.54,,,,,,0.23,0.51,-3.09,,,,,,,,5,0.02,0.87,0.08,0.8,,,,,0.19,0.37,,,,,,,0.35,0.66,4.72,-2.27,0,1,,,,,0.13,1,,0.85,,,,0.36,0.39,0.39,0.2,,,,3.13,95,220,,0.52,,0.48,,5.56,2.8,,-1.86,,0,,,0.43,0.09,,,,,,,,0.18,,,,,2.89,0.63,0.3,,,,0.07,,0.3,,0.8,0.55,0.57,,0.87,,,,,0.8,,0.63,,0.42,,,4.14,2.99,,0.13,6.04,0.24,,6.07,0.15,,,0.25,0.88,0.15,1,0.34,6.11,0.06,0.96,5.28,1,,5.46,,,,,,6.12,,6.69,,,,0.33,0.23,0.46,,,-1.56,,,,4.96,,0.2,0.04,,0.69,,0.1,0.85,,0.39,0.7,,,0.74,
